cause,effect,strength,type
hour_of_day,rush_hour,1.0,bidirectional
day_of_week,hour_of_day,1.0,causal
day_of_week,rush_hour,1.0,causal
day_of_week,temp_avg,1.0,causal
day_of_week,precipitation,1.0,causal
day_of_week,wind_speed,1.0,causal
season,hour_of_day,1.0,causal
season,rush_hour,1.0,causal
season,temp_avg,1.0,causal
season,precipitation,1.0,causal
season,wind_speed,1.0,causal
is_weekend,hour_of_day,1.0,causal
is_weekend,day_of_week,1.0,causal
is_weekend,rush_hour,1.0,causal
is_weekend,temp_avg,1.0,causal
is_weekend,precipitation,1.0,causal
rush_hour,hour_of_day,1.0,bidirectional
temp_avg,hour_of_day,1.0,causal
temp_avg,rush_hour,1.0,causal
precipitation,hour_of_day,1.0,causal
precipitation,rush_hour,1.0,causal
wind_speed,hour_of_day,1.0,causal
wind_speed,rush_hour,1.0,causal
wind_speed,temp_avg,1.0,causal
wind_speed,precipitation,1.0,causal
visibility_score,hour_of_day,1.0,causal
visibility_score,rush_hour,1.0,causal
visibility_score,precipitation,1.0,causal
visibility_score,weather_severity_index,1.0,causal
weather_severity_index,hour_of_day,1.0,causal
weather_severity_index,rush_hour,1.0,causal
weather_severity_index,temp_avg,1.0,causal
weather_severity_index,precipitation,1.0,causal
weather_severity_index,wind_speed,1.0,causal
distance_from_center,hour_of_day,1.0,causal
distance_from_center,rush_hour,1.0,causal
distance_from_center,temp_avg,1.0,causal
distance_from_center,precipitation,1.0,causal
distance_from_center,wind_speed,1.0,causal
distance_from_center,weather_severity_index,1.0,causal
