hour_of_day,temp_avg,precipitation,wind_speed,visibility_score,weather_severity_index,Accident_Severity
14,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,1
8,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,0
14,14.3,0.0,17.65,1.0,0,2
22,14.3,0.0,17.65,1.0,0,2
18,14.3,0.0,17.65,1.0,0,0
8,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,1
22,14.3,0.0,17.65,1.0,0,1
18,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,2
14,14.3,0.0,17.65,1.0,0,2
8,14.3,0.0,17.65,1.0,0,1
14,14.3,0.0,17.65,1.0,0,0
18,14.3,0.0,17.65,1.0,0,0
22,14.3,0.0,17.65,1.0,0,2
